Brand,Nume,Pret_Nou,Pret_Vechi,Marime,Data

NIKE,NIKE Pantofi sport AIR MAX 270 FUTURA,"379,80","422,00",41,2019-10-21 19:01:16.478938

NIKE,NIKE Pantofi sport AIR MAX COMMAND,"334,81","372,01",41,2019-10-21 19:01:16.478938

ADIDAS,ADIDAS Pantofi sport 10K,"247,00","247,00",41 1/3,2019-10-21 22:00:14.862096

ADIDAS,ADIDAS Pantofi sport 10K,"247,00","247,00",41 1/3,2019-10-21 22:00:14.862096

ADIDAS,ADIDAS Pantofi sport 8K,"188,16","224,01",44 2/3,2019-10-21 22:00:14.862096

ADIDAS,ADIDAS Pantofi sport 8K,"201,61","224,01",46,2019-10-21 22:00:14.862096

ADIDAS,ADIDAS Pantofi sport 8K,"188,16","224,01",45 1/3,2019-10-21 22:00:14.862096

ADIDAS,ADIDAS Pantofi sport 8K,"299,99","299,99",40 2/3,2019-10-21 22:00:14.862096

ADIDAS,ADIDAS Pantofi sport 8K,"299,99","299,99",42,2019-10-21 22:00:14.862096

ADIDAS,ADIDAS Pantofi sport 8K,"195,00","195,01",41 1/3,2019-10-21 22:00:14.862096

ADIDAS,ADIDAS Pantofi sport 8K,"173,55","195,01",42,2019-10-21 22:00:14.862096

ADIDAS,ADIDAS Pantofi sport 8K,"299,99","299,99",40,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport 8K,"299,99","299,99",40,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport 8K,"299,99","299,99",40,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport 90S VALASION,"419,99","419,99",40,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport 90S VALASION,"419,99","419,99",40,2019-10-21 22:00:14.863094

ELLESSE,ELLESSE Pantofi sport ADAMS 01.WHITE,"80,75","95,00",45,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport ADI-EASE,"192,00","191,99",40 2/3,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport ADIEASE,"216,00","270,00",44,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport ADIZERO CLUB,"214,00","214,00",41 1/3,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport ADIZERO CLUB,"214,00","214,00",41 1/3,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport ADVANTAGE,"215,00","215,00",41 1/3,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport ADVANTAGE,"214,00","214,00",40 2/3,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport ADVANTAGE BASE,"279,99","280,00",40 2/3,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport ADVANTAGE BASE,"279,99","280,00",40 2/3,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport AEROBOUNCE ST M,"302,39","336,00",42,2019-10-21 22:00:14.863094

ADIDAS,ADIDAS Pantofi sport AEROBOUNCE ST M,"288,96","336,00",44 2/3,2019-10-21 22:00:14.863094

REEBOK,REEBOK Pantofi sport AHARY RUNNER,"269,99","269,99",40,2019-10-21 22:00:14.863094

REEBOK,REEBOK Pantofi sport AHARY RUNNER,"170,10","189,00",44,2019-10-21 22:00:14.863094

REEBOK,REEBOK Pantofi sport AHARY RUNNER,"179,00","179,00",41,2019-10-21 22:00:14.863094

REEBOK,REEBOK Pantofi sport AHARY RUNNER,"179,00","179,00",41,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX 270 FUTURA,"379,80","422,00",41,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX COMMAND,"363,60","404,01",44,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX COMMAND,"334,81","372,01",41,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX COMMAND,"579,99","579,99",41,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX COMMAND,"377,00","377,00",40,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX COMMAND,"377,00","377,00",40,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX COMMAND,"579,99","579,99",40,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX COMMAND,"579,99","579,99",40,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX LD-ZERO,"480,00","480,00",44,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX LTD 3,"549,99","549,99",40,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX LTD 3,"321,30","357,00",40,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX LTD 3,"549,99","549,99",40,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX SEQUENT 4 UTILITY,"305,09","339,00",40,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX VISION,"310,20","330,00",40.5,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX VISION PRM,"317,00","317,00",44,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX VISION PRM,"340,00","339,99",44,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR MAX VISION SE,"340,00","339,99",40.5,2019-10-21 22:00:14.863094

NIKE,NIKE Pantofi sport AIR RELENTLESS 5,"183,75","245,00",43,2019-10-21 22:00:14.863094

ADIDAS,Produse similare,"247,00","247,00",41 1/3,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"247,00","247,00",41 1/3,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"188,16","224,01",44 2/3,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"188,16","224,01",46,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"188,16","224,01",45 1/3,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"299,99","299,99",40 2/3,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"173,99","299,99",42,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"195,01","195,01",41 1/3,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"173,55","195,01",42,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"209,99","299,99",40,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"209,99","299,99",40,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"209,99","299,99",40,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"293,99","419,99",40,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"293,99","419,99",40,2019-10-28 18:05:22.340593

ELLESSE,Produse similare,"80,75","95,00",45,2019-10-28 18:05:22.340593

ADIDAS,CONTACTEAZA-NE!,"191,99","191,99",40 2/3,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"202,50","270,00",44,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"214,00","214,00",41 1/3,2019-10-28 18:05:22.340593

ADIDAS,Produse similare,"214,00","214,00",41 1/3,2019-10-28 18:05:22.340593

