Brand,Nume,Pret_Nou,Pret_vechi,Marime,Gen,Data

NIKE,NIKE Pantofi sport AIR ZOOM TALARIA MID FK PRM,"450,00","450,00",44,barbati,2019-10-28 18:51:45.235423

ADIDAS,ADIDAS Pantofi sport ALPHABOUNCE RC 2 M,"217,35","247,00",41 1/3,barbati,2019-10-28 18:51:46.724708

ADIDAS,ADIDAS Pantofi sport ALPHABOUNCE RC 2 M,"247,00","247,00",41 1/3,barbati,2019-10-28 18:51:48.277431

ADIDAS,ADIDAS Pantofi sport ALPHABOUNCE RC 2 M,"246,00","246,00",41 1/3,barbati,2019-10-28 18:51:49.810657

ADIDAS,ADIDAS Pantofi sport ALPHABOUNCE RC M,"245,70","273,00",42,barbati,2019-10-28 18:51:51.429492

ADIDAS,ADIDAS Pantofi sport ALPHABOUNCE RC M,"258,00","258,00",41 1/3,barbati,2019-10-28 18:51:53.053906

ADIDAS,ADIDAS Pantofi sport ALPHABOUNCE RC M,"258,00","258,00",41 1/3,barbati,2019-10-28 18:51:54.518782

ADIDAS,ADIDAS Pantofi sport ALPHABOUNCE TRAINER M,"352,49","469,99",40,barbati,2019-10-28 18:51:55.937630

SALOMON,SALOMON Pantofi sport ALPHACROSS GTX,"589,99","589,99",42,barbati,2019-10-28 18:51:57.340685

ADIDAS,ADIDAS Pantofi sport APPROACH,"160,65","189,00",42,barbati,2019-10-28 18:51:58.735254

ADIDAS,ADIDAS Pantofi sport APPROACH,"175,00","175,00",41 1/3,barbati,2019-10-28 18:52:00.205692

ADIDAS,ADIDAS Pantofi sport APPROACH,"158,40","180,00",42,barbati,2019-10-28 18:52:01.802064

ADIDAS,ADIDAS Pantofi sport APPROACH,"180,00","180,00",41 1/3,barbati,2019-10-28 18:52:03.364816

ELLESSE,ELLESSE Pantofi sport ARCH,"84,00","112,00",44,barbati,2019-10-28 18:52:05.008833

ELLESSE,ELLESSE Pantofi sport ARCH,"84,00","112,00",44,barbati,2019-10-28 18:52:06.456698

ADIDAS,ADIDAS Pantofi sport ARCHIVO,"182,00","280,00",40,barbati,2019-10-28 18:52:08.013210

ADIDAS,ADIDAS Pantofi sport ARCHIVO,"182,00","280,00",40,barbati,2019-10-28 18:52:10.673205

ELLESSE,ELLESSE Pantofi sport ARDEL,"153,00","153,00",44,barbati,2019-10-28 18:52:12.360816

ADIDAS,ADIDAS Pantofi sport ARGECY,"169,00","169,00",42,barbati,2019-10-28 18:52:13.961052

ELLESSE,ELLESSE Pantofi sport ASCOT 03.GREY,"80,99","100,00",45,barbati,2019-10-28 18:52:15.489413

CHAMPION,CHAMPION Pantofi sport ASPEN,"134,40","168,00",40,barbati,2019-10-28 18:52:18.067880

CHAMPION,CHAMPION Pantofi sport ASPEN,"140,25","165,01",40,barbati,2019-10-28 18:52:19.587013

ELLESSE,ELLESSE Pantofi sport ASSIST HI LTHR AM BLK/BLK/BLK,"499,99","499,99",46,barbati,2019-10-28 18:52:21.235635

ELLESSE,ELLESSE Pantofi sport ASSIST HI LTHR AM BLK/BLK/BLK,"499,99","499,99",46,barbati,2019-10-28 18:52:22.793851

ELLESSE,ELLESSE Pantofi sport ASSIST HI LTHR AM WHT/DK BLU/GRN,"479,99","479,99",46,barbati,2019-10-28 18:52:24.472793

ADIDAS,ADIDAS Pantofi sport ASWEERUN,"259,99","259,99",41 1/3,barbati,2019-10-28 18:52:25.809717

ADIDAS,ADIDAS Pantofi sport ASWEERUN,"150,42","169,00",41 1/3,barbati,2019-10-28 18:52:27.435882

ELLESSE,ELLESSE Pantofi sport AUSTIN,"114,00","190,00",44,barbati,2019-10-28 18:52:28.887439

ELLESSE,ELLESSE Pantofi sport AUSTIN,"114,00","190,00",44,barbati,2019-10-28 18:52:30.493530

HELLY HANSEN,HELLY HANSEN Pantofi sport BACKTRACK,"273,70","322,00",44,barbati,2019-10-28 18:52:31.958349

HELLY HANSEN,HELLY HANSEN Pantofi sport BACKTRACK,"273,70","322,00",44,barbati,2019-10-28 18:52:33.879613

CHAMPION,CHAMPION Pantofi sport BAHO,"159,50","289,99",41,barbati,2019-10-28 18:52:35.588062

CHAMPION,CHAMPION Pantofi sport BAHO,"159,50","289,99",41,barbati,2019-10-28 18:52:40.392898

ADIDAS,ADIDAS Pantofi sport BARRICADE COURT 3,"201,61","224,01",45 1/3,barbati,2019-10-28 18:52:41.705083

ADIDAS,ADIDAS Pantofi sport BARRICADE COURT 3,"199,79","221,99",42,barbati,2019-10-28 18:52:43.309239

HELLY HANSEN,HELLY HANSEN Pantofi sport BERGE VIKING LOW,"141,40","202,00",44,barbati,2019-10-28 18:52:44.685189

HELLY HANSEN,HELLY HANSEN Pantofi sport BERGE VIKING LOW,"137,80","212,00",44,barbati,2019-10-28 18:52:46.191847

HELLY HANSEN,HELLY HANSEN Pantofi sport BERGSHAVEN,"217,56","294,00",44,barbati,2019-10-28 18:52:47.748441

CHAMPION,CHAMPION Pantofi sport BOLT,"107,09","125,99",40,barbati,2019-10-28 18:52:49.432912

CHAMPION,CHAMPION Pantofi sport BOLT,"113,75","175,00",40,barbati,2019-10-28 18:52:50.827381

CHAMPION,CHAMPION Pantofi sport BOLT,"101,99","120,00",40,barbati,2019-10-28 18:52:52.192184

CHAMPION,CHAMPION Pantofi sport BOSTON,"99,00","99,00",43,barbati,2019-10-28 18:52:53.701952

CHAMPION,CHAMPION Pantofi sport BOSTON,"99,00","99,00",44,barbati,2019-10-28 18:52:54.961928

CHAMPION,CHAMPION Pantofi sport BOSTON,"190,00","190,00",42,barbati,2019-10-28 18:52:56.549057

CHAMPION,CHAMPION Pantofi sport BOSTON,"95,00","95,00",40,barbati,2019-10-28 18:52:58.466016

CHAMPION,CHAMPION Pantofi sport BOSTON,"95,99","119,99",45,barbati,2019-10-28 18:53:00.123753

CHAMPION,CHAMPION Pantofi sport BOUTLY,"126,50","229,99",41,barbati,2019-10-28 18:53:01.556054

CHAMPION,CHAMPION Pantofi sport BOUTLY,"126,50","229,99",41,barbati,2019-10-28 18:53:03.086690

ELLESSE,ELLESSE Pantofi sport BRANT,"85,68","119,00",44,barbati,2019-10-28 18:53:07.971157

ELLESSE,ELLESSE Pantofi sport BRANT,"89,25","119,00",44,barbati,2019-10-28 18:53:09.378918

LOTTO,LOTTO Pantofi sport BREZZE,"114,00","190,00",45,barbati,2019-10-28 18:53:10.856435

MERRELL,MERRELL Pantofi sport BURNT ROCK MID WP,"437,99","729,99",43.5,barbati,2019-10-28 18:53:12.526934

ADIDAS,ADIDAS Pantofi sport CAMPUS,"246,00","246,00",40 2/3,barbati,2019-10-28 18:53:14.172609

ADIDAS,ADIDAS Pantofi sport CAMPUS,"237,60","264,00",44,barbati,2019-10-28 18:53:15.964469

SLAZENGER,SLAZENGER Pantofi sport CANVAS PUMP SNR 40,"34,99","34,99",41.5,barbati,2019-10-28 18:53:17.439766

SLAZENGER,SLAZENGER Pantofi sport CANVAS PUMP SNR 40,"34,99","34,99",42,barbati,2019-10-28 18:53:18.871202

PUMA,PUMA Pantofi sport CARACAL,"188,50","289,99",40,barbati,2019-10-28 18:53:20.419686

PUMA,PUMA Pantofi sport CARACAL SD,"201,49","310,00",40,barbati,2019-10-28 18:53:22.520521

CHAMPION,CHAMPION Pantofi sport CARBON,"118,30","182,00",43,barbati,2019-10-28 18:53:24.037024

ADIDAS,ADIDAS Pantofi sport CF ADVANTAGE,"222,99","222,99",44,barbati,2019-10-28 18:53:25.629145

